Y	M	D	H	Rain	Temp
0	1	34	1	0	14
0	1	34	2	0	13.25
0	1	34	3	0	12.85
0	1	34	4	0	12.4
0	1	34	5	0	9.9
0	1	34	6	0	6.75
0	1	34	7	0	8.9
0	1	34	8	0	14.95
0	1	34	9	0	19.85
0	1	34	10	0	23.5
0	1	34	11	0	27.4
0	1	34	12	0	28.85
0	1	34	13	0	29.5
0	1	34	14	0	29.65
0	1	34	15	0	29.2
0	1	34	16	0	27.6
0	1	34	17	0	25.6
0	1	34	18	0	21.25
0	1	34	19	0	18
0	1	34	20	0	16.2
0	1	34	21	0	17.45
0	1	34	22	0	15.55
0	1	34	23	0	14.25
0	1	35	0	0	13.55
0	1	35	1	0	12.75
0	1	35	2	0	11.95
0	1	35	3	0	11.85
0	1	35	4	0	11.85
0	1	35	5	0	11.9
0	1	35	6	0	11.9
0	1	35	7	0	12.9
0	1	35	8	0	16.7
0	1	35	9	0	21.6
0	1	35	10	0	24.05
0	1	35	11	0	26.45
0	1	35	12	0	28.6
0	1	35	13	0	30.05
0	1	35	14	0	29.9
0	1	35	15	0	30
0	1	35	16	0	28.55
0	1	35	17	0	26
0	1	35	18	0	19.7
0	1	35	19	0	15.25
0	1	35	20	0	14.1
0	1	35	21	0	12.5
0	1	35	22	0	11.95
0	1	35	23	0	11.25
0	1	36	0	0	11.3
0	1	36	1	0	10.35
0	1	36	2	0	11.1
0	1	36	3	0	10.9
0	1	36	4	0	10.25
0	1	36	5	0	9.7
0	1	36	6	0	9.15
0	1	36	7	0	11.1
0	1	36	8	0	17.5
0	1	36	9	0	25.2
0	1	36	10	0	27.85
0	1	36	11	0	28.5
0	1	36	12	0	30.25
0	1	36	13	0	31.45
0	1	36	14	0	32.6
0	1	36	15	0	32.9
0	1	36	16	0	31.7
0	1	36	17	0	29.4
0	1	36	18	0	21.9
0	1	36	19	0	17.75
0	1	36	20	0	17.05
0	1	36	21	0	16.15
0	1	36	22	0	14.15
0	1	36	23	0	15.25
0	1	37	0	0	15.55
0	1	37	1	0	15.55
0	1	37	2	0	14.5
0	1	37	3	0	14
0	1	37	4	0	13.5
0	1	37	5	0	12.95
0	1	37	6	0	11.1
0	1	37	7	0	13.3
0	1	37	8	0	20.85
0	1	37	9	0	25.9
0	1	37	10	0	29.75
0	1	37	11	0	31.85
0	1	37	12	0	32.65
0	1	37	13	0	33.15
0	1	37	14	0	34.1
0	1	37	15	0	33.5
0	1	37	16	0	31.75
0	1	37	17	0	29.1
0	1	37	18	0	25.1
0	1	37	19	0	21.85
0	1	37	20	0	20.8
0	1	37	21	0	19
0	1	37	22	0	18.65
0	1	37	23	0	17.8
0	1	38	0	0	16.9
0	1	38	1	0	16.75
0	1	38	2	0	16.2
0	1	38	3	0	15.95
0	1	38	4	0	15.6
0	1	38	5	0	15.2
0	1	38	6	0	14.85
0	1	38	7	0	16.05
0	1	38	8	0	19.35
0	1	38	9	0	23.85
0	1	38	10	0	27.35
0	1	38	11	0	28.6
0	1	38	12	0	29
0	1	38	13	0	29.05
0	1	38	14	0	29.2
0	1	38	15	0	28.7
0	1	38	16	0	27.55
0	1	38	17	0	24.85
0	1	38	18	0	22.25
0	1	38	19	0	21
0	1	38	20	0	19.45
0	1	38	21	0	17.25
0	1	38	22	0	15.25
0	1	38	23	0	14.35
0	1	39	0	0	15.25
0	1	39	1	0	15
0	1	39	2	0	13.5
0	1	39	3	0	13.35
0	1	39	4	0	13.65
0	1	39	5	0	14.1
0	1	39	6	0	14
0	1	39	7	0	15.4
0	1	39	8	0	19.8
0	1	39	9	0	22.85
0	1	39	10	0	25.6
0	1	39	11	0	27.75
0	1	39	12	0	29.4
0	1	39	13	0	30.9
0	1	39	14	0	31.85
0	1	39	15	0	32.05
0	1	39	16	0	31.4
0	1	39	17	0	29.15
0	1	39	18	0	22.65
0	1	39	19	0	23.9
0	1	39	20	0	21.4
0	1	39	21	0	20.55
0	1	39	22	0	19.1
0	1	39	23	0	18.4
0	1	40	0	0	16.7
0	1	40	1	0	16.45
0	1	40	2	0	14.45
0	1	40	3	0	12.2
0	1	40	4	0	10.9
0	1	40	5	0	11.2
0	1	40	6	0	10.6
0	1	40	7	0	14.4
0	1	40	8	0	22.55
0	1	40	9	0	25.35
0	1	40	10	0	27.35
0	1	40	11	0	28.75
0	1	40	12	0	31.25
0	1	40	13	0	32.5
0	1	40	14	0	33.35
0	1	40	15	0	33.25
0	1	40	16	0	32.6
0	1	40	17	0	30.55
0	1	40	18	0	24.2
0	1	40	19	0	20.9
0	1	40	20	0	18.85
0	1	40	21	0	21.4
0	1	40	22	0	21.25
0	1	40	23	0	19.9
0	1	41	0	0	19.2
0	1	41	1	0	18.55
0	1	41	2	0	16.65
0	1	41	3	0	15.9
0	1	41	4	0	14.5
0	1	41	5	0	13.55
0	1	41	6	0	12.75
0	1	41	7	0	13.9
0	1	41	8	0	22.4
0	1	41	9	0	25.05
0	1	41	10	0	26.25
0	1	41	11	0	28.3
0	1	41	12	0	29.85
0	1	41	13	0	31.25
0	1	41	14	0	32.15
